	lu_code_2	description_2	lu_group	irrigation_table_notes	mean_plant_height	kcb_mult	kcb_ini	kcb_mid	kcb_end	kcb_min	first_day_of_growing_season	last_day_of_growing_season	l_offset	l_mult	planting_date	planting_date__mmdd	l_ini	l_dev	l_mid	l_late	l_fallow	irrigation_length	na	rew_1	rew_2	rew_3	rew_4	rew_5	rew_6	rew_7	tew_1	tew_2	tew_3	tew_4	tew_5	tew_6	tew_7	depletion_fraction	gdd_base	gdd_max	mad	irrigation_start	irrigation_end	application_amount	fraction_irrigation_from_gw	application_scheme	irrigation_application_efficiency
0	1	Corn	corn	9698	8.0	0.5946	0.2	0.85	0.425	0.2	125	255	-12.2894	1.3784	110	04/20	15	60	40	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
1	2	Cotton	cott	6325	6.0	0.9409	0.2	1.0	0.5	0.2	140	303	-30.0	1.4824	110	04/20	30	60	59	44	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	60	130	0.55	05/10	09/10	0	1	field_capacity	1.0
2	3	Rice	rice	9203	3.0	0.8467	0.2	1.1	0.55	0.2	119	244	-12.8236	1.3602	92	04/01	27	45	50	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	0.7
3	4	Sorghum	sorg	611	3.28	0.9354	0.15	0.9	0.45	0.15	130	238	3.0312	1.0214	110	04/20	20	36	41	31	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
4	5	Soybeans	soybn	36406	2.75	0.897	0.2	0.9	0.45	0.2	120	223	0.1042	1.1311	110	04/20	10	30	45	28	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.75	0.85	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
5	6	Sunflower	sunf	3	6.56	1.0	0.15	1.0	0.5	0.15	135	240	0.0	1.0	110	04/20	25	35	45	25	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.45	50	130	0.45	05/10	09/10	0	1	field_capacity	1.0
6	10	Peanuts	clseed	19	3.28	0.9955	0.15	1.0	0.5	0.15	130	235	0.3366	1.0034	110	04/20	20	35	40	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.75	0.85	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
7	11	Tobacco	tobac	0	6.56	1.0	0.15	1.0	0.5	0.15	135	240	0.0	1.0	110	04/20	25	35	45	25	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.45	50	130	0.45	05/10	09/10	0	1	field_capacity	1.0
8	12	Sweet Corn	corn	1	6.0	0.5946	0.2	0.85	0.425	0.2	125	255	-12.2894	1.3784	110	04/20	15	60	40	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
9	13	Pop or Orn Corn	corn	3	6.0	0.5946	0.2	0.85	0.425	0.2	125	255	-12.2894	1.3784	110	04/20	15	60	40	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
10	14	Mint	clseed	0	2.75	0.9955	0.2	1.0	0.5	0.2	130	245	0.3366	1.0034	110	04/20	20	30	60	25	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
11	21	Barley	smgrn	0	3.28	0.5527	0.15	0.6356	0.3178	0.15	153	304	-13.1405	1.0804	110	04/20	43	43	54	54	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
12	22	Durham Wheat	smgrn	0	3.28	0.5527	0.4	0.6356	0.3178	0.25	447	636	-13.1405	1.0804	274	10/01	173	81	81	27	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
13	23	Spring Wheat	smgrn	0	3.28	0.5527	0.15	0.6356	0.3178	0.15	132	256	-13.1405	1.0804	110	04/20	22	27	65	32	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
14	24	Winter Wheat	smgrn	1233	3.28	0.5527	0.4	0.6356	0.3178	0.25	447	636	-13.1405	1.0804	274	10/01	173	81	81	27	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.75	0.85	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
15	25	Other Small Grains	smgrn	0	3.28	0.5527	0.4	0.6356	0.3178	0.25	132	251	-13.1405	1.0804	110	04/20	22	54	43	22	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
16	26	Dbl Crop WinWht/Soybeans	smgrn	7023	2.46	0.5527	0.2	0.9	0.45	0.2	157	281	-13.1405	1.0804	135	05/15	22	32	65	27	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.75	0.85	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
17	27	Rye	smgrn	0	0.984	0.5527	0.95	0.6356	0.3178	0.15	132	256	-13.1405	1.0804	110	04/20	22	27	65	32	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
18	28	Oats	smgrn	1	3.28	0.5527	0.15	0.6356	0.3178	0.15	132	256	-13.1405	1.0804	110	04/20	22	27	65	32	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
19	29	Millet	smgrn	1	4.92	0.5527	0.15	0.5527	0.27635	0.15	132	261	-13.1405	1.0804	110	04/20	22	32	59	38	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
20	30	Speltz	smgrn	0	3.28	0.5527	0.15	0.6356	0.3178	0.15	132	256	-13.1405	1.0804	110	04/20	22	27	65	32	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
21	31	Canola	smgrn	0	3.936	0.5527	0.15	0.6079	0.30395	0.15	132	256	-13.1405	1.0804	110	04/20	22	27	65	32	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
22	32	Flaxseed	smgrn	0	3.936	0.5527	0.15	0.6079	0.30395	0.15	132	256	-13.1405	1.0804	110	04/20	22	27	65	32	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
23	33	Safflower	smgrn	0	3.936	0.5527	0.15	0.6079	0.30395	0.15	132	256	-13.1405	1.0804	110	04/20	22	27	65	32	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
24	34	Rape Seed	smgrn	0	3.936	0.5527	0.15	0.6079	0.30395	0.15	132	256	-13.1405	1.0804	110	04/20	22	27	65	32	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
25	35	Mustard	smgrn	0	3.936	0.5527	0.15	0.6079	0.30395	0.15	132	256	-13.1405	1.0804	110	04/20	22	27	65	32	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
26	36	Alfalfa	alfalf	8	3.0	0.957	0.4	0.9092	0.4546	0.4	115	265	2.9792	1.0011	105	04/15	10	30	90	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.75	0.85	0.354	1.063	1.063	0.6	50	130	0.6	04/01	09/10	0	1	field_capacity	1.0
27	37	 Other Hay/Non Alfalfa	hayoth	2584	1.968	1.423	0.4	1.0	0.5	0.4	132	205	-19.9571	1.1312	121	05/01	11	34	28	11	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
28	38	Camelina	smgrn	0	1.968	0.5527	0.15	0.6356	0.3178	0.15	132	202	-13.1405	1.0804	121	05/01	11	32	27	11	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
29	39	Buckwheat	smgrn	0	3.28	0.5527	0.4	0.6356	0.3178	0.25	447	636	-13.1405	1.0804	274	10/01	173	81	81	27	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
30	41	Sugarbeets	rootvg	0	1.312	1.0	0.35	0.75	0.375	0.7	160	290	0.0	1.0	110	04/20	50	40	50	40	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	field_capacity	1.0
31	42	Snap beans	smveg	10	1.312	1.0021	0.5	0.75	0.375	0.5	160	252	1.3064	1.021	140	05/20	20	31	41	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.45	50	130	0.45	05/10	09/10	0	1	field_capacity	1.0
32	43	Potatoes	rootvg	1	2.5	1.0	0.2	0.9	0.45	0.2	150	260	0.0	1.0	130	05/10	20	70	30	10	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.75	0.85	0.354	1.063	1.063	0.45	50	130	0.45	05/10	09/10	0	1	field_capacity	1.0
33	44	Other Crops	smveg	3	2.0	1.0021	0.2	0.9018	0.4509	0.2	150	262	1.3064	1.021	130	05/10	20	71	31	10	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.45	50	130	0.45	05/10	09/10	0	1	field_capacity	1.0
34	45	Sugarcane	sugcane	2225	6.0	1.0	0.15	1.0	0.5	0.15	146	251	0.0	1.0	121	05/01	25	35	45	25	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.45	50	130	0.45	05/10	09/10	0	1	field_capacity	1.0
35	46	Sweet Potatoes	swtpot	93	3.0	1.0714	0.2	0.9643	0.48215	0.2	152	274	18.9389	1.1079	130	05/10	22	78	33	11	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.75	0.85	0.354	1.063	1.063	0.45	50	130	0.45	05/10	09/10	0	1	field_capacity	1.0
36	47	Misc Vegs and Fruits	smveg	0	2.0	1.0021	0.15	1.0	0.5	0.15	141	249	1.3064	1.021	121	05/01	20	31	46	31	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.35	50	130	0.35	05/10	09/10	0	1	field_capacity	1.0
37	48	Watermelons	melon	3	2.0	1.0	0.15	1.0	0.5	0.15	141	246	0.0	1.0	121	05/01	20	30	45	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.35	50	130	0.35	05/10	09/10	0	1	field_capacity	1.0
38	49	Onions	smveg	0	1.0	1.0021	0.15	0.7	0.35	0.15	120	258	1.3064	1.021	105	04/15	15	26	71	41	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.3	50	130	0.3	05/10	09/10	0	1	field_capacity	1.0
39	50	Cucumbers	smveg	0	1.5	1.0021	0.6	0.7	0.35	0.6	146	223	1.3064	1.021	110	04/20	36	26	31	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.35	50	130	0.35	05/10	09/10	0	1	field_capacity	1.0
40	51	Chick Peas	smveg	0	2.0	1.0021	0.5	1.1524	0.5762	0.15	141	218	1.3064	1.021	105	04/15	36	26	31	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.35	50	130	0.35	05/10	09/10	0	1	field_capacity	1.0
41	52	Lentils	smveg	0	1.64	1.0021	0.5	1.1524	0.5762	0.15	141	218	1.3064	1.021	105	04/15	36	26	31	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.35	50	130	0.35	05/10	09/10	0	1	field_capacity	1.0
42	53	Peas	smveg	2	1.64	1.0021	0.5	0.75	0.375	0.15	141	218	1.3064	1.021	105	04/15	36	26	31	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.35	50	130	0.35	05/10	09/10	0	1	field_capacity	1.0
43	54	Tomatoes	smveg	0	1.312	1.0021	0.5	1.0522	0.5261	0.5	160	252	1.3064	1.021	140	05/20	20	31	41	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.45	50	130	0.45	05/10	09/10	0	1	field_capacity	1.0
44	55	Caneberries	smveg	0	1.968	1.0021	0.6	1.1524	0.5762	0.6	109	303	1.3064	1.021	89	03/30	20	71	92	31	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.4	50	130	0.4	05/10	09/10	0	1	field_capacity	1.0
45	56	Hops	smveg	0	1.968	1.0021	0.6	1.1524	0.5762	0.6	109	303	1.3064	1.021	89	03/30	20	71	92	31	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.4	50	130	0.4	05/10	09/10	0	1	field_capacity	1.0
46	57	Herbs	smveg	0	1.968	1.0021	0.6	1.1524	0.5762	0.6	109	303	1.3064	1.021	89	03/30	20	71	92	31	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.4	50	130	0.4	05/10	09/10	0	1	field_capacity	1.0
47	58	Clover/Wildflowers	clover	0	1.968	1.0	0.4	0.9	0.45	0.4	109	299	0.0	1.0	89	03/30	20	70	90	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	none	1.0
48	59	Sod/Grass Seed	sod	130	0.328	1.3598	0.8	0.85	0.425	0.8	109	297	-8.1293	0.9869	89	03/30	20	69	89	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
49	60	Switchgrass	swtchgr	0	0.492	1.0	0.4	0.85	0.425	0.3	115	215	0.0	1.0	105	04/15	10	30	35	35	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.55	50	130	0.55	05/10	09/10	0	1	none	1.0
50	61	Fallow / Idle	fallow	6866	0.5	1.3859	0.3	1.0	0.5	0.15	105	255	23.5806	0.7844	89	03/30	16	55	71	24	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
51	66	Cherries	frttr	0	6.56	1.0126	0.95	0.962	0.481	0.95	131	262	0.4783	1.0068	121	05/01	10	30	81	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
52	67	Peaches	frttr	1	10.0	1.0126	0.95	0.962	0.481	0.95	131	262	0.4783	1.0068	121	05/01	10	30	81	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
53	68	Apples	frttr	0	6.56	1.0126	0.95	0.962	0.481	0.95	131	262	0.4783	1.0068	121	05/01	10	30	81	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
54	69	Grapes	frttr	0	3.772	1.0126	0.6	1.0126	0.5063	0.6	109	300	0.4783	1.0068	89	03/30	20	70	91	30	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
55	70	Christmas Trees	xmastr	0	6.56	1.0	0.95	0.95	0.475	0.95	131	261	0.0	1.0	121	05/01	10	30	80	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
56	71	Other Tree Crops	frttr	0	6.56	1.0126	0.95	0.962	0.481	0.95	131	262	0.4783	1.0068	121	05/01	10	30	81	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
57	72	Citrus	frttr	0	6.56	1.0126	0.95	0.962	0.481	0.95	131	262	0.4783	1.0068	121	05/01	10	30	81	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
58	74	Pecans	frttr	33	15.0	1.0126	0.95	0.962	0.481	0.95	131	262	0.4783	1.0068	121	05/01	10	30	81	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
59	75	Almonds	frttr	0	6.56	1.0126	0.95	0.962	0.481	0.95	131	262	0.4783	1.0068	121	05/01	10	30	81	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
60	76	Walnuts	frttr	0	6.56	1.0126	0.95	0.962	0.481	0.95	131	262	0.4783	1.0068	121	05/01	10	30	81	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
61	77	Pears	frttr	0	6.56	1.0126	0.95	0.962	0.481	0.95	131	262	0.4783	1.0068	121	05/01	10	30	81	20	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
62	87	Wetland	0	0	3.28	1.0065	0.3	1.15	0.575	0.3	141	331	19.146	1.2209	121	05/01	20	70	90	30	1	9999	DOY	0.196	0.295	0.393	0.5	0.196	0.472	0.472	0.354	0.669	0.9	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	none	1.0
63	92	Aquaculture	aqua	524	1.0	1.0	1.0	1.0	1.0	1.0	22	220	0.0	1.0	1	01/01	21	73	94	31	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	field_capacity	1.0
64	111	OPEN WATER	openwat	7895	0.1	1.0	0.7	1.0	0.7	0.7	70	310	4.7399	1.0457	10	01/10	60	60	90	90	1	9999	DOY	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	50	130	0.5	05/10	09/10	0	1	none	1.0
65	121	Developed, Open Space	devopen	7652	5.0	1.3756	0.3	0.8	0.4	0.15	110	289	24.748	0.7651	89	03/30	21	50	97	32	1	9999	DOY	0.085	0.155	0.255	0.288	0.085	0.155	0.255	0.17	0.31	0.51	0.576	0.17	0.31	0.41	0.1	50	130	0.1	05/10	09/10	0	1	none	1.0
66	122	Developed, Low Intensity	devlow	4919	5.0	1.3518	0.3	0.8	0.4	0.15	111	290	28.0311	1.0743	89	03/30	22	50	97	32	1	9999	DOY	0.085	0.155	0.255	0.288	0.085	0.155	0.255	0.17	0.31	0.51	0.576	0.17	0.31	0.41	0.5	50	130	0.5	05/10	09/10	0	1	none	1.0
67	123	Developed, Medium Intensity	devmed	1002	5.0	0.5559	0.3	0.6	0.3	0.15	111	293	20.0372	1.0754	89	03/30	22	50	99	33	1	9999	DOY	0.085	0.155	0.255	0.288	0.085	0.155	0.255	0.17	0.31	0.51	0.576	0.17	0.31	0.41	0.5	50	130	0.5	05/10	09/10	0	1	none	1.0
68	124	Developed, High Intensity	devhi	430	5.0	0.6608	0.3	0.5	0.25	0.15	109	279	24.5333	1.104	89	03/30	20	50	90	30	1	9999	DOY	0.085	0.155	0.255	0.288	0.085	0.155	0.255	0.17	0.31	0.51	0.576	0.17	0.31	0.41	0.5	50	130	0.5	05/10	09/10	0	1	none	1.0
69	131	Barren Land	barren	99	2.0	1.1878	0.3	0.2	0.1	0.15	111	294	-11.4607	0.9951	89	03/30	22	50	100	33	1	9999	DOY	0.196	0.295	0.393	0.472	0.196	0.472	0.472	0.354	0.669	0.906	1.063	0.354	1.063	1.063	0.5	50	130	0.5	05/10	09/10	0	1	none	1.0
70	141	Deciduous Forest	decfrst	44537	30.0	0.8656	0.45	0.95	0.31666666666666665	0.45	111	279	18.3597	1.1072	89	03/30	22	50	85	33	1	9999	DOY	0.05	0.099	0.155	0.205	0.05	0.099	0.155	0.1	0.198	0.31	0.41	0.1	0.198	0.41	0.5	50	130	0.5	05/10	09/10	0	1	none	1.0
71	142	Evergreen Forest	evfrst	63249	32.8	0.9748	0.65	0.95	0.65	0.45	89	313	11.5025	1.0923	59	02/28	30	30	150	44	1	9999	DOY	0.05	0.099	0.155	0.205	0.05	0.099	0.155	0.1	0.198	0.31	0.41	0.1	0.198	0.41	0.7	50	130	0.7	05/10	09/10	0	1	none	1.0
72	143	Mixed Forest	mixfrst	7458	30.0	1.2557	0.6	0.95	0.475	0.6	109	279	-30.0	1.4757	89	03/30	20	50	90	30	1	9999	DOY	0.05	0.099	0.155	0.205	0.05	0.099	0.155	0.1	0.198	0.31	0.41	0.1	0.198	0.41	0.6	50	130	0.6	05/10	09/10	0	1	none	1.0
