	lu_code	description	lu_group	note	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	max_net_infil_1	max_net_infil_2	max_net_infil_3	max_net_infil_4	max_net_infil_5	max_net_infil_6	max_net_infil_7	growing_season_interception_a	growing_season_interception_b	growing_season_interception_n	nongrowing_season_interception_a	nongrowing_season_interception_b	nongrowing_season_interception_n	rz_1	rz_2	rz_3	rz_4	rz_5	rz_6	rz_7
0	1	Corn	corn	straight row w crop residue; avg of poor and good	56.95	73.2229	82.3064	85.8796	56.95	73.2229	82.3064	3.75	2	0.2213	0.0981	3	0.75	0.06	0.025	0.1133	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
1	2	Cotton	cott	straight row w crop residue; good	54.4	71.6368	81.2584	85.0432	54.4	71.6368	81.2584	3.75	2	0.2213	0.0981	3	0.75	0.06	0.02	0.14	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
2	3	Rice	rice	AMC II	94.4636	96.5563	97.7245	98.0	94.4636	96.5563	97.7245	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0738	0.1	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
3	4	Sorghum	sorg	assume same as corn	56.95	73.2229	82.3064	85.8796	56.95	73.2229	82.3064	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0449	0.1	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
4	5	Soybeans	soybn	small grains, good, SR	56.95	71.1081	80.909	84.7644	56.95	71.1081	80.909	3.75	2	0.2213	0.0981	3	0.75	0.06	0.01	0.15	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
5	6	Sunflower	sunf	row crops, SR, avg	70.0	81.34	87.67	90.16	81.34	87.67	90.16	3.75	2	0.2213	0.0981	3	0.75	0.06	0.02	0.17	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
6	10	Peanuts	clseed	close-seeded, avg, SR	56.95	71.1081	80.909	84.7644	56.95	71.1081	80.909	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0146	0.15	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
7	11	Tobacco	tobac	row crops, SR, avg	70.0	81.34	87.67	90.16	81.34	87.67	90.16	3.75	2	0.2213	0.0981	3	0.75	0.06	0.03	0.24	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
8	12	Sweet Corn	corn	assume same as corn	56.95	73.2229	82.3064	85.8796	56.95	73.2229	82.3064	3.75	2	0.2213	0.0981	3	0.75	0.06	0.025	0.1133	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
9	13	Pop or Orn Corn	corn	assume same as corn	56.95	73.2229	82.3064	85.8796	56.95	73.2229	82.3064	3.75	2	0.2213	0.0981	3	0.75	0.06	0.025	0.1133	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
10	14	Mint	clseed	close-seeded, SR, avg	63.0017	76.987	84.7937	87.8645	76.987	84.7937	87.8645	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0146	0.15	1.0	0.0	0.0	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
11	21	Barley	smgrn	small grain, SR, avg	55.1697	72.1156	81.5748	85.2957	72.1156	81.5748	85.2957	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0076	0.15	1.0	0.0002	0.0042	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
12	22	Durham Wheat	smgrn	small grain, SR, avg	55.1697	72.1156	81.5748	85.2957	72.1156	81.5748	85.2957	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0076	0.15	1.0	0.0002	0.0042	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
13	23	Spring Wheat	smgrn	small grain, SR, avg	55.1697	72.1156	81.5748	85.2957	72.1156	81.5748	85.2957	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0076	0.15	1.0	0.0002	0.0042	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
14	24	Winter Wheat	smgrn	small grain, SR, avg	56.95	71.1081	80.909	84.7644	56.95	71.1081	80.909	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0076	0.15	1.0	0.0002	0.0042	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
15	25	Other Small Grains	smgrn	small grain, SR, avg	55.1697	72.1156	81.5748	85.2957	72.1156	81.5748	85.2957	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0076	0.15	1.0	0.0002	0.0042	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
16	26	Dbl Crop WinWht/Soybeans	smgrn	small grain, SR, avg	56.95	71.1081	80.909	84.7644	56.95	71.1081	80.909	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0076	0.15	1.0	0.0002	0.0042	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
17	27	Rye	smgrn	small grain, SR, avg	56.95	71.1081	80.909	84.7644	56.95	71.1081	80.909	3.75	2	0.2213	0.0981	3	0.75	0.06	0.0076	0.15	1.0	0.0002	0.0042	1.0	2.7350394000000002	1.8	1.8	1.8	2.7350394000000002	1.8	1.8
