id,start_date,end_date,zone_grid_filename
1,2003-01-01,2003-01-31,sw_watershed_obs_zones_1000m.asc
2,2003-02-01,2003-02-28,sw_watershed_obs_zones_1000m.asc
3,2003-03-01,2003-03-31,sw_watershed_obs_zones_1000m.asc
4,2003-04-01,2003-04-30,sw_watershed_obs_zones_1000m.asc
5,2003-05-01,2003-05-31,sw_watershed_obs_zones_1000m.asc
6,2003-06-01,2003-06-30,sw_watershed_obs_zones_1000m.asc
7,2003-07-01,2003-07-31,sw_watershed_obs_zones_1000m.asc
8,2003-08-01,2003-08-31,sw_watershed_obs_zones_1000m.asc
9,2003-09-01,2003-09-30,sw_watershed_obs_zones_1000m.asc
10,2003-10-01,2003-10-31,sw_watershed_obs_zones_1000m.asc
11,2003-11-01,2003-11-30,sw_watershed_obs_zones_1000m.asc
12,2003-12-01,2003-12-31,sw_watershed_obs_zones_1000m.asc
13,2007-01-01,2007-01-31,sw_watershed_obs_zones_1000m.asc
14,2007-02-01,2007-02-28,sw_watershed_obs_zones_1000m.asc
15,2007-03-01,2007-03-31,sw_watershed_obs_zones_1000m.asc
16,2007-04-01,2007-04-30,sw_watershed_obs_zones_1000m.asc
17,2007-05-01,2007-05-31,sw_watershed_obs_zones_1000m.asc
18,2007-06-01,2007-06-30,sw_watershed_obs_zones_1000m.asc
19,2007-07-01,2007-07-31,sw_watershed_obs_zones_1000m.asc
20,2007-08-01,2007-08-31,sw_watershed_obs_zones_1000m.asc
21,2007-09-01,2007-09-30,sw_watershed_obs_zones_1000m.asc
22,2007-10-01,2007-10-31,sw_watershed_obs_zones_1000m.asc
23,2007-11-01,2007-11-30,sw_watershed_obs_zones_1000m.asc
24,2007-12-01,2007-12-31,sw_watershed_obs_zones_1000m.asc
25,2009-01-01,2009-01-31,sw_watershed_obs_zones_1000m.asc
26,2009-02-01,2009-02-28,sw_watershed_obs_zones_1000m.asc
27,2009-03-01,2009-03-31,sw_watershed_obs_zones_1000m.asc
28,2009-04-01,2009-04-30,sw_watershed_obs_zones_1000m.asc
29,2009-05-01,2009-05-31,sw_watershed_obs_zones_1000m.asc
30,2009-06-01,2009-06-30,sw_watershed_obs_zones_1000m.asc
31,2009-07-01,2009-07-31,sw_watershed_obs_zones_1000m.asc
32,2009-08-01,2009-08-31,sw_watershed_obs_zones_1000m.asc
33,2009-09-01,2009-09-30,sw_watershed_obs_zones_1000m.asc
34,2009-10-01,2009-10-31,sw_watershed_obs_zones_1000m.asc
35,2009-11-01,2009-11-30,sw_watershed_obs_zones_1000m.asc
36,2009-12-01,2009-12-31,sw_watershed_obs_zones_1000m.asc
37,2011-01-01,2011-01-31,sw_watershed_obs_zones_1000m.asc
38,2011-02-01,2011-02-28,sw_watershed_obs_zones_1000m.asc
39,2011-03-01,2011-03-31,sw_watershed_obs_zones_1000m.asc
40,2011-04-01,2011-04-30,sw_watershed_obs_zones_1000m.asc
41,2011-05-01,2011-05-31,sw_watershed_obs_zones_1000m.asc
42,2011-06-01,2011-06-30,sw_watershed_obs_zones_1000m.asc
43,2011-07-01,2011-07-31,sw_watershed_obs_zones_1000m.asc
44,2011-08-01,2011-08-31,sw_watershed_obs_zones_1000m.asc
45,2011-09-01,2011-09-30,sw_watershed_obs_zones_1000m.asc
46,2011-10-01,2011-10-31,sw_watershed_obs_zones_1000m.asc
47,2011-11-01,2011-11-30,sw_watershed_obs_zones_1000m.asc
48,2011-12-01,2011-12-31,sw_watershed_obs_zones_1000m.asc
49,2014-01-01,2014-01-31,sw_watershed_obs_zones_1000m.asc
50,2014-02-01,2014-02-28,sw_watershed_obs_zones_1000m.asc
51,2014-03-01,2014-03-31,sw_watershed_obs_zones_1000m.asc
